units,layers,activation,optimizer,lr,dropout,l2_strength,trial_id,status,val_auc,val_precision,val_recall,val_accuracy,val_loss
64,1,tanh,adam,0.0003,0.0,0.0001,061,COMPLETED,0.8800224661827087,0.7401960492134094,0.503333330154419,0.8992518782615662,0.2813604474067688
48,4,relu,adam,0.0003,0.1,1e-05,036,COMPLETED,0.8799364566802979,0.7168141603469849,0.5400000214576721,0.8992518782615662,0.2768194079399109
128,2,relu,adam,0.0003,0.0,1e-05,110,COMPLETED,0.879894495010376,0.7385321259498596,0.5366666913032532,0.9022443890571594,0.2753247618675232
32,3,relu,adam,0.001,0.2,1e-05,026,COMPLETED,0.8798445463180542,0.7339449524879456,0.5333333611488342,0.9012469053268433,0.2807918190956116
112,3,relu,adam,0.0003,0.4,1e-05,117,COMPLETED,0.8798201084136963,0.695652186870575,0.5866666436195374,0.8997506499290466,0.2793181538581848
144,1,relu,adam,0.0003,0.0,0.0,184,COMPLETED,0.8797448873519897,0.7358490824699402,0.5199999809265137,0.9002493619918823,0.27638471126556396
96,4,relu,adam,0.0003,0.2,1e-06,102,COMPLETED,0.8796373605728149,0.699999988079071,0.5833333134651184,0.9002493619918823,0.27676889300346375
128,1,tanh,adam,0.001,0.1,1e-06,012,COMPLETED,0.8796324133872986,0.7416267991065979,0.5166666507720947,0.9007481336593628,0.27712491154670715
128,2,tanh,adam,0.001,0.2,1e-05,111,COMPLETED,0.8795982599258423,0.7268292903900146,0.49666666984558105,0.8967580795288086,0.27745869755744934
32,3,tanh,adam,0.001,0.1,1e-05,165,COMPLETED,0.8795933723449707,0.7162790894508362,0.5133333206176758,0.8967580795288086,0.2737284004688263
128,2,tanh,adam,0.0003,0.1,0.0,081,COMPLETED,0.8795933723449707,0.73893803358078,0.5566666722297668,0.9042394161224365,0.27923980355262756
48,2,tanh,adam,0.001,0.2,0.0,055,COMPLETED,0.8795552253723145,0.7020407915115356,0.5733333230018616,0.8997506499290466,0.2755449414253235
96,1,tanh,adam,0.0003,0.30000000000000004,1e-06,109,COMPLETED,0.8795425295829773,0.7168949842453003,0.5233333110809326,0.8977556228637695,0.2755369544029236
32,4,tanh,adam,0.0003,0.0,1e-06,108,COMPLETED,0.8795386552810669,0.699999988079071,0.49000000953674316,0.8922693133354187,0.27480602264404297
96,4,relu,adam,0.0003,0.1,0.0001,147,COMPLETED,0.8794858455657959,0.708695650100708,0.5433333516120911,0.8982543349266052,0.3110397756099701
144,3,relu,adam,0.0003,0.0,0.0001,022,COMPLETED,0.8794203996658325,0.6944444179534912,0.5833333134651184,0.8992518782615662,0.3134559094905853
192,4,relu,adam,0.0003,0.1,0.0,084,COMPLETED,0.8793538808822632,0.6935483813285828,0.5733333230018616,0.8982543349266052,0.27617108821868896
160,3,relu,adam,0.001,0.30000000000000004,0.0,046,COMPLETED,0.879338264465332,0.7339901328086853,0.49666666984558105,0.8977556228637695,0.2777397930622101
32,2,relu,adam,0.0003,0.0,0.0,051,COMPLETED,0.8793352842330933,0.7188940048217773,0.5199999809265137,0.8977556228637695,0.2823461592197418
112,3,relu,adam,0.001,0.0,0.0001,063,COMPLETED,0.8792307376861572,0.7118644118309021,0.5600000023841858,0.9002493619918823,0.3052176237106323
32,3,relu,adam,0.0003,0.30000000000000004,0.0,089,COMPLETED,0.8791632652282715,0.7186146974563599,0.5533333420753479,0.9007481336593628,0.2742590606212616
64,3,relu,adam,0.001,0.1,0.0,016,COMPLETED,0.8791602849960327,0.7021276354789734,0.550000011920929,0.8977556228637695,0.2755301296710968
96,2,relu,adam,0.001,0.0,1e-05,116,COMPLETED,0.8791564106941223,0.7095435857772827,0.5699999928474426,0.9007481336593628,0.2799597680568695
96,2,relu,adam,0.0003,0.2,0.0,097,COMPLETED,0.8791212439537048,0.7186146974563599,0.5533333420753479,0.9007481336593628,0.2812809944152832
64,4,tanh,adam,0.0003,0.4,1e-06,143,COMPLETED,0.8791104555130005,0.6666666865348816,0.6133333444595337,0.8962593674659729,0.2824392318725586
96,2,tanh,adam,0.0003,0.2,1e-06,163,COMPLETED,0.8790302872657776,0.7233009934425354,0.49666666984558105,0.8962593674659729,0.277153879404068
112,1,tanh,adam,0.001,0.1,1e-06,085,COMPLETED,0.8790234923362732,0.7425742745399475,0.5,0.8992518782615662,0.2781514525413513
32,1,tanh,adam,0.001,0.30000000000000004,1e-05,086,COMPLETED,0.8788641691207886,0.7327188849449158,0.5299999713897705,0.9007481336593628,0.27204617857933044
64,2,tanh,adam,0.0003,0.4,1e-06,043,COMPLETED,0.8787615299224854,0.6982758641242981,0.5400000214576721,0.8962593674659729,0.2733565866947174
192,2,relu,adam,0.001,0.2,1e-06,004,COMPLETED,0.8787351250648499,0.729613721370697,0.5666666626930237,0.903740644454956,0.2864523231983185
192,4,relu,adam,0.001,0.1,0.0001,193,COMPLETED,0.8785913586616516,0.7008547186851501,0.54666668176651,0.8972568511962891,0.31381916999816895
160,1,tanh,adam,0.0003,0.0,0.0,006,COMPLETED,0.8785532712936401,0.7276995182037354,0.5166666507720947,0.8987531065940857,0.2793721854686737
128,2,tanh,adam,0.0003,0.0,1e-05,122,COMPLETED,0.878549337387085,0.7363184094429016,0.4933333396911621,0.8977556228637695,0.28093963861465454
32,3,relu,adam,0.0003,0.1,1e-06,082,COMPLETED,0.8785288333892822,0.7280701994895935,0.5533333420753479,0.9022443890571594,0.28016093373298645
112,1,tanh,adam,0.0003,0.4,1e-05,135,COMPLETED,0.8784692287445068,0.7122641801834106,0.503333330154419,0.895261824131012,0.2777174413204193
